ticker,test_year,period,strategy,train_start,train_end,test_start,test_end,annualized_return,cumulative_return,max_drawdown,volatility
MSFT,2023,post_2016_oos_wf,dca,2006-01-03,2022-12-30,2023-01-03,2023-12-29,0.25020491008894385,0.24688575140164715,-0.09201981702114104,0.1347614129399215
MSFT,2024,post_2016_oos_wf,ga_walkforward,2006-01-03,2023-12-29,2024-01-02,2024-12-31,0.145633319954537,0.14501540110634759,-0.15486787688862502,0.19909759044443465
MSFT,2024,post_2016_oos_wf,fixed_rule,2006-01-03,2023-12-29,2024-01-02,2024-12-31,0.14563331995453965,0.14501540110635025,-0.15486787688862447,0.1990975904444344
MSFT,2024,post_2016_oos_wf,buy_and_hold,2006-01-03,2023-12-29,2024-01-02,2024-12-31,0.14563331995453788,0.14501540110634847,-0.1548678768886249,0.19909759044443465
MSFT,2024,post_2016_oos_wf,dca,2006-01-03,2023-12-29,2024-01-02,2024-12-31,0.024682281044663412,0.024583141345360326,-0.09934668355863951,0.12460605324286247
MSFT,2025,post_2016_oos_wf,ga_walkforward,2006-01-03,2024-12-31,2025-01-02,2025-12-31,0.16603586565991346,0.16390549758461592,-0.2055660492931436,0.2424991235864998
MSFT,2025,post_2016_oos_wf,fixed_rule,2006-01-03,2024-12-31,2025-01-02,2025-12-31,-0.01768131124650274,-0.017472669242723504,-0.1953769058273529,0.19325905464257978
MSFT,2025,post_2016_oos_wf,buy_and_hold,2006-01-03,2024-12-31,2025-01-02,2025-12-31,0.16603586565991257,0.16390549758461503,-0.20556604929314382,0.2424991235864996
MSFT,2025,post_2016_oos_wf,dca,2006-01-03,2024-12-31,2025-01-02,2025-12-31,0.06760578493328206,0.06677466539489463,-0.11543120637696669,0.12061034752875655
MSFT,2026,post_2016_oos_wf,ga_walkforward,2006-01-03,2025-12-31,2026-01-02,2026-05-15,-0.43099624361159916,-0.18605026068090647,-0.20377811087348408,0.23480970139881036
MSFT,2026,post_2016_oos_wf,fixed_rule,2006-01-03,2025-12-31,2026-01-02,2026-05-15,-0.23020717652862654,-0.0910972023230876,-0.11089313302798609,0.1942482152612109
MSFT,2026,post_2016_oos_wf,buy_and_hold,2006-01-03,2025-12-31,2026-01-02,2026-05-15,-0.263933343727081,-0.10584214584820706,-0.2603795532253408,0.3212676746797708
MSFT,2026,post_2016_oos_wf,dca,2006-01-03,2025-12-31,2026-01-02,2026-05-15,0.0625371800735317,0.022392606850185404,-0.10481182315991766,0.17302557712298483
V,2013,pre_2016_internal_wf,ga_walkforward,2008-03-19,2012-12-31,2013-01-02,2013-12-31,0.4464727878374073,0.4443555545268998,-0.10873354043287886,0.2122188316651334
V,2013,pre_2016_internal_wf,fixed_rule,2008-03-19,2012-12-31,2013-01-02,2013-12-31,0.44647278783740507,0.44435555452689757,-0.10873354043287942,0.21221883166513342
V,2013,pre_2016_internal_wf,buy_and_hold,2008-03-19,2012-12-31,2013-01-02,2013-12-31,0.44647278783740596,0.44435555452689846,-0.1087335404328792,0.21221883166513347
V,2013,pre_2016_internal_wf,dca,2008-03-19,2012-12-31,2013-01-02,2013-12-31,0.27455428107260915,0.2733278776340069,-0.06994505309484822,0.13275606789005895
V,2014,pre_2016_internal_wf,ga_walkforward,2008-03-19,2013-12-31,2014-01-02,2014-12-31,0.19617273643569622,0.1953227729952336,-0.154537380555699,0.21260762514776652
V,2014,pre_2016_internal_wf,fixed_rule,2008-03-19,2013-12-31,2014-01-02,2014-12-31,0.19617273643569688,0.19532277299523404,-0.15453738055569854,0.21260762514776665
V,2014,pre_2016_internal_wf,buy_and_hold,2008-03-19,2013-12-31,2014-01-02,2014-12-31,0.19617273643569466,0.19532277299523204,-0.15453738055569877,0.21260762514776654
V,2014,pre_2016_internal_wf,dca,2008-03-19,2013-12-31,2014-01-02,2014-12-31,0.20196102016691975,0.20108393546684766,-0.07239801009890678,0.13246723387742532
V,2015,pre_2016_internal_wf,ga_walkforward,2008-03-19,2014-12-31,2015-01-02,2015-12-31,0.1794693237090319,0.17869700268729338,-0.1217633897126047,0.22068049706277212
V,2015,pre_2016_internal_wf,fixed_rule,2008-03-19,2014-12-31,2015-01-02,2015-12-31,0.17946932370903235,0.17869700268729383,-0.12176338971260459,0.2206804970627724
V,2015,pre_2016_internal_wf,buy_and_hold,2008-03-19,2014-12-31,2015-01-02,2015-12-31,0.17946932370903257,0.17869700268729405,-0.12176338971260459,0.22068049706277246
V,2015,pre_2016_internal_wf,dca,2008-03-19,2014-12-31,2015-01-02,2015-12-31,0.12079939867203637,0.12029229752682746,-0.0838286982479991,0.14370946996499906
V,2016,post_2016_oos_wf,ga_walkforward,2008-03-19,2015-12-31,2016-01-04,2016-12-30,0.03864265317666371,0.038486395706058385,-0.11144635458588148,0.21330437378109746
V,2016,post_2016_oos_wf,fixed_rule,2008-03-19,2015-12-31,2016-01-04,2016-12-30,0.038642653176663266,0.03848639570605794,-0.11144635458588148,0.2133043737810977
V,2016,post_2016_oos_wf,buy_and_hold,2008-03-19,2015-12-31,2016-01-04,2016-12-30,0.03864265317666282,0.0384863957060575,-0.11144635458588181,0.21330437378109757
V,2016,post_2016_oos_wf,dca,2008-03-19,2015-12-31,2016-01-04,2016-12-30,0.008047664759674777,0.008015601933507588,-0.08472407887324207,0.1101860271935622
V,2017,post_2016_oos_wf,ga_walkforward,2008-03-19,2016-12-30,2017-01-03,2017-12-29,0.44862089674131234,0.4443662341690875,-0.05231131429541269,0.12882485641716737
V,2017,post_2016_oos_wf,fixed_rule,2008-03-19,2016-12-30,2017-01-03,2017-12-29,0.44862089674131234,0.4443662341690875,-0.05231131429541269,0.12882485641716737
V,2017,post_2016_oos_wf,buy_and_hold,2008-03-19,2016-12-30,2017-01-03,2017-12-29,0.4486208967413119,0.44436623416908705,-0.05231131429541269,0.1288248564171671
V,2017,post_2016_oos_wf,dca,2008-03-19,2016-12-30,2017-01-03,2017-12-29,0.20706947775381446,0.20526792630026347,-0.050743377366536335,0.08712599538065059
V,2018,post_2016_oos_wf,ga_walkforward,2008-03-19,2017-12-29,2018-01-02,2018-12-31,0.16126813483858737,0.15989098183037576,-0.19126878201770225,0.25306647968355556
V,2018,post_2016_oos_wf,fixed_rule,2008-03-19,2017-12-29,2018-01-02,2018-12-31,0.16126813483858737,0.15989098183037576,-0.19126878201770292,0.2530664796835554
V,2018,post_2016_oos_wf,buy_and_hold,2008-03-19,2017-12-29,2018-01-02,2018-12-31,0.16126813483858737,0.15989098183037576,-0.1912687820177026,0.2530664796835555
V,2018,post_2016_oos_wf,dca,2008-03-19,2017-12-29,2018-01-02,2018-12-31,0.005453340838807108,0.005409943494867564,-0.18482558316438713,0.18223947831047532
V,2019,post_2016_oos_wf,ga_walkforward,2008-03-19,2018-12-31,2019-01-02,2019-12-31,0.42470262731685926,0.42270287267662954,-0.085657284824875,0.18009759133993755
V,2019,post_2016_oos_wf,fixed_rule,2008-03-19,2018-12-31,2019-01-02,2019-12-31,0.4247026273168595,0.42270287267662976,-0.08565728482487511,0.18009759133993755
V,2019,post_2016_oos_wf,buy_and_hold,2008-03-19,2018-12-31,2019-01-02,2019-12-31,0.4247026273168586,0.42270287267662887,-0.08565728482487522,0.18009759133993758
V,2019,post_2016_oos_wf,dca,2008-03-19,2018-12-31,2019-01-02,2019-12-31,0.16095020104588564,0.16026286957141433,-0.0686785613972648,0.11025155045180386
V,2020,post_2016_oos_wf,ga_walkforward,2008-03-19,2019-12-31,2020-01-02,2020-12-31,0.025811740831659824,0.025811740831659824,-0.24222825790461833,0.25316473708633447
V,2020,post_2016_oos_wf,fixed_rule,2008-03-19,2019-12-31,2020-01-02,2020-12-31,-0.006158066523800354,-0.006158066523800354,-0.28227257254888216,0.28309965033512696
V,2020,post_2016_oos_wf,buy_and_hold,2008-03-19,2019-12-31,2020-01-02,2020-12-31,0.15150860214073458,0.15150860214073458,-0.36364894902859,0.4265629757230091
V,2020,post_2016_oos_wf,dca,2008-03-19,2019-12-31,2020-01-02,2020-12-31,0.15116643384977535,0.15116643384977535,-0.1359000262459361,0.1748254107368412
V,2021,post_2016_oos_wf,ga_walkforward,2008-03-19,2020-12-31,2021-01-04,2021-12-31,-0.09763424605854554,-0.09726629462948655,-0.2189461004433373,0.22430527160663855
V,2021,post_2016_oos_wf,fixed_rule,2008-03-19,2020-12-31,2021-01-04,2021-12-31,-0.09763424605854543,-0.09726629462948644,-0.2189461004433375,0.22430527160663852
V,2021,post_2016_oos_wf,buy_and_hold,2008-03-19,2020-12-31,2021-01-04,2021-12-31,0.0012964654960518907,0.0012913174714108688,-0.23981012066525054,0.24122568828239782
V,2021,post_2016_oos_wf,dca,2008-03-19,2020-12-31,2021-01-04,2021-12-31,-0.009842670572521528,-0.009803804445537523,-0.19783496742407514,0.160625721074504
V,2022,post_2016_oos_wf,ga_walkforward,2008-03-19,2021-12-31,2022-01-03,2022-12-30,-0.16680800936599693,-0.16560038749992623,-0.22629099068915126,0.28238332741837835
V,2022,post_2016_oos_wf,fixed_rule,2008-03-19,2021-12-31,2022-01-03,2022-12-30,-0.17694434963497307,-0.1756713437217744,-0.2305445728519222,0.23685604437987903
V,2022,post_2016_oos_wf,buy_and_hold,2008-03-19,2021-12-31,2022-01-03,2022-12-30,-0.0550625642330651,-0.05463772268609479,-0.2413786904810854,0.3088294035606543
V,2022,post_2016_oos_wf,dca,2008-03-19,2021-12-31,2022-01-03,2022-12-30,-0.005388961581417329,-0.005346306579694149,-0.1311058876866753,0.16586026657294073
V,2023,post_2016_oos_wf,ga_walkforward,2008-03-19,2022-12-30,2023-01-03,2023-12-29,0.26892603249579095,0.26533325625321535,-0.077787939157826,0.15551735948858275
V,2023,post_2016_oos_wf,fixed_rule,2008-03-19,2022-12-30,2023-01-03,2023-12-29,0.26892603249579206,0.26533325625321647,-0.07778793915782622,0.15551735948858308
V,2023,post_2016_oos_wf,buy_and_hold,2008-03-19,2022-12-30,2023-01-03,2023-12-29,0.2689260324957943,0.2653332562532187,-0.07778793915782622,0.1555173594885832
V,2023,post_2016_oos_wf,dca,2008-03-19,2022-12-30,2023-01-03,2023-12-29,0.12680722951273493,0.1252068497439287,-0.06033580329885724,0.08713631453843845
V,2024,post_2016_oos_wf,ga_walkforward,2008-03-19,2023-12-29,2024-01-02,2024-12-31,0.23119181361964625,0.2301760957580945,-0.12453226049037991,0.16871462779081606
V,2024,post_2016_oos_wf,fixed_rule,2008-03-19,2023-12-29,2024-01-02,2024-12-31,0.2311918136196418,0.23017609575809006,-0.12453226049037969,0.1687146277908161
V,2024,post_2016_oos_wf,buy_and_hold,2008-03-19,2023-12-29,2024-01-02,2024-12-31,0.23119181361964536,0.2301760957580936,-0.12453226049037969,0.16871462779081628
V,2024,post_2016_oos_wf,dca,2008-03-19,2023-12-29,2024-01-02,2024-12-31,0.14811906422523036,0.14748993525462128,-0.05745849028491312,0.11334855507026746
V,2025,post_2016_oos_wf,ga_walkforward,2008-03-19,2024-12-31,2025-01-02,2025-12-31,0.1249888497558771,0.12341265198138163,-0.15009242659174482,0.22529883195485045
V,2025,post_2016_oos_wf,fixed_rule,2008-03-19,2024-12-31,2025-01-02,2025-12-31,0.12498884975587843,0.12341265198138296,-0.1500924265917446,0.22529883195485034
V,2025,post_2016_oos_wf,buy_and_hold,2008-03-19,2024-12-31,2025-01-02,2025-12-31,0.12498884975587798,0.12341265198138252,-0.1500924265917445,0.22529883195485065
V,2025,post_2016_oos_wf,dca,2008-03-19,2024-12-31,2025-01-02,2025-12-31,0.02335783767011801,0.023076584273060696,-0.09841147979837328,0.12554889454548074
V,2026,post_2016_oos_wf,ga_walkforward,2008-03-19,2025-12-31,2026-01-02,2026-05-15,-0.14587301483494264,-0.05593856502551431,-0.17180512273245274,0.25652346587687447
V,2026,post_2016_oos_wf,fixed_rule,2008-03-19,2025-12-31,2026-01-02,2026-05-15,-0.35141075777040587,-0.14620416393744795,-0.17266137071736543,0.19155651826934744
V,2026,post_2016_oos_wf,buy_and_hold,2008-03-19,2025-12-31,2026-01-02,2026-05-15,-0.1458730148349443,-0.055938565025514975,-0.17180512273245296,0.2565234658768747
V,2026,post_2016_oos_wf,dca,2008-03-19,2025-12-31,2026-01-02,2026-05-15,0.017044893055396138,0.006189376323296081,-0.07317777202336284,0.15557680555892747
MA,2011,pre_2016_internal_wf,ga_walkforward,2006-05-25,2010-12-31,2011-01-03,2011-12-30,0.6953549824266902,0.6918072528743633,-0.13741239057928312,0.38377905913395893
